"date","team","goals","elo","rank","match_id","stage"
"23-Jun-1998","Austria",1,1692,33,"1998-140","World Cup"
"23-Jun-1998","Morocco",3,1731,14,"1998-141","World Cup"
"23-Jun-1998","Scotland",0,1659,23,"1998-141","World Cup"
"23-Jun-1998","Norway",2,1880,7,"1998-142","World Cup"
"23-Jun-1998","Brazil",1,2019,1,"1998-142","World Cup"
"24-Jun-1998","France",2,2017,3,"1998-143","World Cup"
"24-Jun-1998","Denmark",1,1850,16,"1998-143","World Cup"
"24-Jun-1998","Paraguay",3,1763,15,"1998-144","World Cup"
"24-Jun-1998","Nigeria",1,1695,21,"1998-144","World Cup"
"24-Jun-1998","Saudi Arabia",2,1629,50,"1998-145","World Cup"
"24-Jun-1998","South Africa",2,1651,48,"1998-145","World Cup"
"24-Jun-1998","Spain",6,1970,1,"1998-146","World Cup"
"24-Jun-1998","Bulgaria",1,1710,24,"1998-146","World Cup"
"25-Jun-1998","Belgium",1,1814,19,"1998-147","World Cup"
"25-Jun-1998","South Korea",1,1705,31,"1998-147","World Cup"
"25-Jun-1998","Germany",2,2066,0,"1998-148","World Cup"
"25-Jun-1998","Iran",0,1660,41,"1998-148","World Cup"
"25-Jun-1998","Mexico",2,1877,14,"1998-149","World Cup"
"25-Jun-1998","Netherlands",2,1960,7,"1998-149","World Cup"
"25-Jun-1998","Yugoslavia",1,1986,5,"1998-150","World Cup"
"25-Jun-1998","United States",0,1687,34,"1998-150","World Cup"
"26-Jun-1998","Argentina",1,1928,8,"1998-151","World Cup"
"26-Jun-1998","Croatia",0,1851,12,"1998-151","World Cup"
"26-Jun-1998","England",2,1947,6,"1998-152","World Cup"
"26-Jun-1998","Colombia",0,1716,24,"1998-152","World Cup"
"26-Jun-1998","Jamaica",2,1609,41,"1998-153","World Cup"
"26-Jun-1998","Japan",1,1627,35,"1998-153","World Cup"
"26-Jun-1998","Romania",1,1890,9,"1998-154","World Cup"
"26-Jun-1998","Tunisia",1,1607,46,"1998-154","World Cup"
"27-Jun-1998","Brazil",4,2067,0,"1998-155","World Cup"
"27-Jun-1998","Chile",1,1740,23,"1998-155","World Cup"
"27-Jun-1998","Italy",1,1979,2,"1998-156","World Cup"
"27-Jun-1998","Norway",0,1876,10,"1998-156","World Cup"
"28-Jun-1998","Denmark",4,1862,8,"1998-157","World Cup"
"28-Jun-1998","Nigeria",1,1674,26,"1998-157","World Cup"
"28-Jun-1998","France",1,2029,3,"1998-158","World Cup"
"28-Jun-1998","Paraguay",0,1796,20,"1998-158","World Cup"
"29-Jun-1998","Germany",2,2075,0,"1998-159","World Cup"
"29-Jun-1998","Mexico",1,1855,14,"1998-159","World Cup"
"29-Jun-1998","Netherlands",2,1968,2,"1998-160","World Cup"
"29-Jun-1998","Yugoslavia",1,1932,6,"1998-160","World Cup"
"30-Jun-1998","Argentina",2,1956,9,"1998-161","World Cup"
"30-Jun-1998","England",2,1968,7,"1998-161","World Cup"
"30-Jun-1998","Croatia",1,1879,6,"1998-162","World Cup"
"30-Jun-1998","Romania",0,1846,10,"1998-162","World Cup"
"3-Jul-1998","Brazil",3,2083,0,"1998-163","World Cup"
"3-Jul-1998","Denmark",2,1867,12,"1998-163","World Cup"
"3-Jul-1998","France",0,2015,3,"1998-164","World Cup"
"3-Jul-1998","Italy",0,2005,4,"1998-164","World Cup"
"4-Jul-1998","Croatia",3,1912,4,"1998-165","World Cup"
